Country,Currency,ISO Code,UIC Code,Rate,Rate convention,Reference date (CET)
RWANDA,Rwanda Franc,RWF,163,1160.0494,Foreign currency amount for 1 Euro ,2021-12-28
SAO TOME and PRINCIPE,Dobra,STN,283,24.5000,Foreign currency amount for 1 Euro ,2021-12-28
SAUDI ARABIA,Saudi Arabian Riyal,SAR,075,4.2491,Foreign currency amount for 1 Euro ,2021-12-28
SENEGAL,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-28
SERBIA,Serbian Dinar,RSD,274,117.6327,Foreign currency amount for 1 Euro ,2021-12-28
SEYCHELLES,Seychelles Rupee,SCR,185,16.6242,Foreign currency amount for 1 Euro ,2021-12-28
SIERRA LEONE,Leone,SLL,165,12775.54,Foreign currency amount for 1 Euro ,2021-12-28
SINGAPORE,Singapore Dollar,SGD,124,1.5335,Foreign currency amount for 1 Euro ,2021-12-28
SOLOMON (Islands),Solomon Islands Dollar,SBD,206,9.1823,Foreign currency amount for 1 Euro ,2021-12-28
SOMALIA,Somali Shilling,SOS,065,655.5210,Foreign currency amount for 1 Euro ,2021-12-28
SOUTH AFRICA,South African Rand,ZAR,082,17.8113,Foreign currency amount for 1 Euro ,2021-12-28
SOUTH SUDAN,South Sudanese Pound,SSP,279,480.9762,Foreign currency amount for 1 Euro ,2021-12-28
SRI LANKA,Sri Lanka Rupee,LKR,058,229.5772,Foreign currency amount for 1 Euro ,2021-12-28
ST. HELENA,St. Helena Pound,SHP,207,0.84248,Foreign currency amount for 1 Euro ,2021-12-28
ST. KITTS AND NEVIS,East Caribbean Dollar,XCD,137,3.0594,Foreign currency amount for 1 Euro ,2021-12-28
ST. LUCIA,East Caribbean Dollar,XCD,137,3.0594,Foreign currency amount for 1 Euro ,2021-12-28
ST. VINCENT and the GRENADINES,East Caribbean Dollar,XCD,137,3.0594,Foreign currency amount for 1 Euro ,2021-12-28
SUDAN,Sudanese Pound,SDG,275,496.2018,Foreign currency amount for 1 Euro ,2021-12-28
SURINAME,Suriname Dollar,SRD,266,24.055,Foreign currency amount for 1 Euro ,2021-12-28
SWEDEN,Swedish Krona,SEK,009,10.2528,Foreign currency amount for 1 Euro ,2021-12-28
SWITZERLAND,Swiss Franc,CHF,003,1.0381,Foreign currency amount for 1 Euro ,2021-12-28
SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,036,2846.3472,Foreign currency amount for 1 Euro ,2021-12-28
TAIWAN,New Taiwan Dollar,TWD,143,31.3523,Foreign currency amount for 1 Euro ,2021-12-28
TAJIKISTAN,Somoni,TJS,264,12.8040,Foreign currency amount for 1 Euro ,2021-12-28
TANZANIA,Tanzania Shilling,TZS,125,2611.3747,Foreign currency amount for 1 Euro ,2021-12-28
THAILAND,Baht,THB,073,37.948,Foreign currency amount for 1 Euro ,2021-12-28
TOGO,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-28
TONGA,Pa anga,TOP,167,2.5595,Foreign currency amount for 1 Euro ,2021-12-28
TRINIDAD and TOBAGO,Trinidad and Tobago Dollar,TTD,166,7.6943,Foreign currency amount for 1 Euro ,2021-12-28
TUNISIA,Tunisian Dinar,TND,080,3.2616,Foreign currency amount for 1 Euro ,2021-12-28
TURKEY,Turkey Lira (new),TRY,267,13.3521,Foreign currency amount for 1 Euro ,2021-12-28
TURKMENISTAN,Turkmen Manat (new),TMT,278,3.9659,Foreign currency amount for 1 Euro ,2021-12-28
UGANDA,Uganda Shilling,UGX,126,4016.75,Foreign currency amount for 1 Euro ,2021-12-28
UKRAINE,Hryvnia,UAH,241,30.8829,Foreign currency amount for 1 Euro ,2021-12-28
UNITED ARAB EMIRATES,U.A.E. Dirham,AED,187,4.1613,Foreign currency amount for 1 Euro ,2021-12-28
UNITED KINGDOM,Pound Sterling,GBP,002,0.84248,Foreign currency amount for 1 Euro ,2021-12-28
UNITED STATES,U.S. Dollar,USD,001,1.1331,Foreign currency amount for 1 Euro ,2021-12-28
URUGUAY,Uruguayan Peso,UYU,053,50.3169,Foreign currency amount for 1 Euro ,2021-12-28
UZBEKISTAN,Uzbek Sum,UZS,232,12245.68,Foreign currency amount for 1 Euro ,2021-12-28
VANUATU,Vatu,VUV,208,127.35,Foreign currency amount for 1 Euro ,2021-12-28
VENEZUELA,Bolivar Soberano,VES,284,5.1720,Foreign currency amount for 1 Euro ,2021-12-28
VIETNAM,Dong,VND,145,25871,Foreign currency amount for 1 Euro ,2021-12-28
WESTERN SAMOA,Tala,WST,164,2.9333,Foreign currency amount for 1 Euro ,2021-12-28
YEMEN,Yemeni Rial,YER,122,283.51,Foreign currency amount for 1 Euro ,2021-12-28
ZAMBIA,Zambian Kwacha,ZMW,148,18.8046,Foreign currency amount for 1 Euro ,2021-12-28
ZIMBABWE,Zimbabwe Dollar,ZWL,061,123.1294,Foreign currency amount for 1 Euro ,2021-12-28
